body,title
"
                                            Jaume Collet-Serra: “Édgar Ramírez era perfecto para encarnar a Aguirre”                                        ","
                                        El director de “Jungle Cruise” habla del trabajo del actor venezolano en la nueva aventura de la factoría Disney                                     "
"
                                            Latin Vox Machine presenta ""El Principito Sinfónico""                                        ","
                                        Como anticipo de la obra sinfónica teatral “El Principito Sinfónico”, que estará protagonizada por Osvaldo Laport y Esteban Zapata, la orquesta Latin Vox Machine acaba de lanzar su primer sencillo “Invisible”                                    "
"
                                            Los cultivos de lavanda florecen en Moldavia tras el declive postsoviético                                        ","
                                        Los aceites de esta planta, famosos por sus efectos relajantes en la piel, se vendieron en Moscú hasta el hundimiento del bloque soviético en 1991                                    "
"
                                            Conindustria apuesta por la mejora salarial de los venezolanos                                        ","
                                        Luigi Pisella considera que una posible reconversión monetaria no mejoraría la economía nacional
                                    "
"
                                            La Unesco inscribe siete nuevos sitios a la Lista del Patrimonio Mundial                                        ","
                                        Cuatro de ellos fueron inscritos ""por sus atributos naturales""                                    "
"
                                            Concurso de creatividad y expresión ""Adolescentes desde la casa"" vuelve a la UCAB                                        ","
                                        La segunda edición del certamen que organiza la Universidad Católica Andrés Bello, en alianza con la Fundación Telema, tiene como tema central los derechos y deberes de los jóvenes                                     "
"
                                            Instalan Consejo Superior de Economía Productiva                                        ","
                                        Tareck El Aissami, el vicepresidente sectorial de Economía, destacó que el Gobierno siempre ha estado enfocado en un solo objetivo que es producir por Venezuela                                    "
"
                                            Gobernador Barreto Sira acusa a la alcaldía de no hacer mantenimiento al canal de alivio de Barcelona                                        ","
                                        El desbordamiento del río Neverí fue consecuencia de esta inacción del gobierno municipal, porque las aguas no pudieron descargar al mar                                    "
"
                                            Venezuela estudia sancionar a Plus Ultra por vender vuelos no autorizados                                        ","
                                        El Instituto Nacional de Aeronáutica Civil iniciará una investigación contra la española Plus Ultra por la venta de billetes en la línea Madrid-Caracas, una ruta aérea no autorizada por el Gobierno venezolano                                    "
"
                                            En Hacienda La Trinidad toman forma 36 travesías inéditas                                        ","
                                        El próximo jueves 5 de agosto, a las 11:30 am, abrirá al público la exposición del concurso de arte contemporáneo “La trayectoria inédita. Mirar al mundo de nuevo”                                    "
